workload,tile_size,tiles_total,tiles_active,workref_count,max_workrefs_per_tile,tile_load_pixels,tile_store_pixels,tile_load_bytes,tile_store_bytes,blend_ops,pixels_written,key_discards,texture_samples,max_overdraw
kind0,16,16,16,64,4,4096,4096,8192,8192,0,2304,0,2304,1
kind0,32,4,4,64,16,4096,4096,8192,8192,0,2304,0,2304,1
kind0,64,1,1,64,64,4096,4096,8192,8192,0,2304,0,2304,1
kind1,16,16,16,146,13,4096,4096,8192,8192,4587,4587,0,0,4
kind1,32,4,4,99,30,4096,4096,8192,8192,4587,4587,0,0,4
kind1,64,1,1,80,80,4096,4096,8192,8192,4587,4587,0,0,4
kind2,16,16,4,256,64,1024,1024,2048,2048,0,16384,0,0,64
kind2,32,4,1,64,64,1024,1024,2048,2048,0,16384,0,0,64
kind2,64,1,1,64,64,4096,4096,8192,8192,0,16384,0,0,64
kind3,16,16,16,16,1,4096,4096,8192,8192,0,4096,0,4096,1
kind3,32,4,4,16,4,4096,4096,8192,8192,0,4096,0,4096,1
kind3,64,1,1,16,16,4096,4096,8192,8192,0,4096,0,4096,1
kind4,16,16,16,27,3,4096,4096,8192,8192,0,123,0,0,2
kind4,32,4,4,25,8,4096,4096,8192,8192,0,123,0,0,2
kind4,64,1,1,25,25,4096,4096,8192,8192,0,123,0,0,2
kind5,16,16,3,5,3,768,768,1536,1536,100,353,0,180,2
kind5,32,4,1,5,5,1024,1024,2048,2048,100,353,0,180,2
kind5,64,1,1,5,5,4096,4096,8192,8192,100,353,0,180,2
